ind;EECC;TipoEC;Muestra;Cnn;T(ms);Cnn/s;Ciclos;Enf(mes);Enr(%);Mwd/TnU
1;BL09;MAEF;1;32458;146916;220.94;3;127;4.697;44082
2;BL09;MAEF;2;39967;150917;264.84;3;127;4.697;46265
3;BL09;MAEF;3;39438;145916;270.29;3;127;4.697;46517
4;BL09;MAEF;4;30342;145930;207.93;3;127;4.697;43374
5;BL09;MAEF;5;30361;140921;215.46;3;127;4.697;43788
6;BL09;MAEF;6;36570;141930;257.67;3;127;4.697;45927
7;BL09;MAEF;7;37611;143920;261.35;3;127;4.697;46101
8;BL09;MAEF;8;28313;137931;205.28;3;127;4.697;43226
9;BT18;MAEF;1;62987;144929;434.62;2;38;4.572;48093
10;BT18;MAEF;2;53990;145930;370;2;38;4.572;46073
11;BT18;MAEF;3;57057;146919;388.36;2;38;4.572;46672
12;BT18;MAEF;4;67451;143931;468.65;2;38;4.572;49070
13;BR03;MAEF;1;59759;145925;409.53;3;56;4.489;48171
14;BR03;MAEF;2;61035;145934;418.24;3;56;4.489;48442
15;BR03;MAEF;3;59776;145930;409.63;3;56;4.489;48174
16;BR03;MAEF;4;54950;145925;376.56;3;56;4.489;47105
17;BP08;MAEF;1;78497;144922;541.66;3;73;4.687;53408
18;BP08;MAEF;2;85979;148925;577.34;3;73;4.687;54325
19;BP08;MAEF;3;79638;144921;549.53;3;73;4.687;53614
20;BP08;MAEF;4;75250;145931;515.65;3;73;4.687;52712
21;BM09;MAEF;1;61114;142923;427.61;3;109;4.696;51806
22;BM09;MAEF;2;61256;144924;422.68;3;109;4.696;51646
23;BM09;MAEF;3;60119;143926;417.74;3;109;4.696;51485
24;BM09;MAEF;4;56269;142921;393.71;3;109;4.696;50678
25;BM09;MAEF;5;60774;140932;431.24;3;109;4.696;51923
26;BM09;MAEF;6;55956;139927;399.91;3;109;4.696;50889
27;BK49;MAEF;1;52042;147925;351.82;3;146;4.615;50398
28;BK49;MAEF;2;50070;146913;340.83;3;146;4.615;49973
29;BK49;MAEF;3;45831;145922;314.09;3;146;4.615;48896
30;BK49;MAEF;4;46771;146930;318.33;3;146;4.615;49071
31;BJ12;MAEF;1;57823;145929;396.25;3;165;4.659;53140
32;BJ12;MAEF;2;54599;145918;374.18;3;165;4.659;52335
33;BJ12;MAEF;3;55310;146924;376.45;3;165;4.659;52419
34;BJ12;MAEF;4;56984;145923;390.52;3;165;4.659;52934
35;BH08;MAEF;1;54408;144927;375.43;3;171;4.527;52561
36;BH08;MAEF;2;49097;145923;336.47;3;171;4.527;51047
37;BH08;MAEF;3;49344;149923;329.13;3;171;4.527;50748
38;BH08;MAEF;4;51498;144924;355.37;3;171;4.527;51797
39;BH08;MAEF;5;53444;142924;373.93;3;171;4.527;52505
40;BH08;MAEF;6;47162;140923;334.67;3;171;4.527;50975
41;BH08;MAEF;7;46663;141928;328.79;3;171;4.527;50734
42;BH08;MAEF;8;49889;140922;354.03;3;171;4.527;51744
43;BS40;MAEF;1;5845;143929;40.61;1;73;4.46;26045
44;BS40;MAEF;2;5492;143924;38.16;1;73;4.46;25616
45;BS40;MAEF;3;5682;143923;39.48;1;73;4.46;25850
46;BS40;MAEF;4;5352;143928;37.19;1;73;4.46;25440
47;BS40;MAEF;5;5661;141927;39.89;1;73;4.46;25921
48;BS40;MAEF;6;5703;143927;39.62;1;73;4.46;25875
49;BS40;MAEF;7;5506;140931;39.07;1;73;4.46;25778
